id,x,y,d,t,s,r,o,h,k,j,m,b,v,f,p,c
4124,41.334265,-72.900609,14231808,12:40,A,2.0,STATE STREET,,['Pedestrian'],S,0,35.0,False,False,1,0
8555,41.347714,-72.934389,14274144,19:59,A,4.0,CIRCULAR AVE,GORHAM AV,['Pedestrian'],E,99,25.0,True,,1,0
29371,41.314237,-72.943333,14211936,08:53,A,4.0,SHERMAN AVE,MAPLE ST,['Driver'],N,0,,True,True,0,0
30371,41.3042,-72.9309,14241312,17:01,A,4.0,COLLEGE ST,NORTH FRONTAGE RD,['Pedestrian'],W,0,25.0,False,False,1,0
31050,41.313823,-72.92502,14256864,16:30,A,4.0,TRUMBULL ST,PROSPECT ST,['Bicyclist'],N,0,25.0,False,False,0,1
31050,41.313823,-72.92502,14256864,16:30,A,4.0,TRUMBULL ST,PROSPECT ST,['Bicyclist'],E,0,25.0,False,False,0,1
32190,41.318495,-72.947534,14311296,20:46,A,4.0,431 WHALLEY AVE,ELLSWORTH AV,['Bicyclist'],S,0,25.0,False,False,0,1
32190,41.318495,-72.947534,14311296,20:46,A,4.0,431 WHALLEY AVE,ELLSWORTH AV,['Bicyclist'],N,0,25.0,False,False,0,1
32190,41.318495,-72.947534,14311296,20:46,A,4.0,431 WHALLEY AVE,ELLSWORTH AV,['Bicyclist'],S,0,25.0,False,False,0,1
32191,41.317946,-72.927262,14311296,21:35,A,4.0,130 WINCHESTER AVE,WEBSTER ST,['Pedestrian'],N,0,25.0,False,False,1,0
36096,41.293095,-72.941681,14256000,08:42,A,4.0,113 TRUMAN ST.,,['Pedestrian'],W,0,,False,False,1,0
36096,41.293095,-72.941681,14256000,08:42,A,4.0,113 TRUMAN ST.,,['Pedestrian'],,0,,False,False,1,0
36102,41.304341,-72.894472,14265504,12:01,A,4.0, FERRY ST,CHAPEL ST,['Pedestrian'],W,97,25.0,False,False,1,0
36277,41.292365,-72.940137,14321664,19:05,A,4.0,698 WASHINGTON AVE,,['Bicyclist'],W,0,25.0,False,False,0,1
36277,41.292365,-72.940137,14321664,19:05,A,4.0,698 WASHINGTON AVE,,['Bicyclist'],W,1,25.0,False,False,0,1
37802,41.306558,-72.951982,14325984,21:49,A,3.0,N FRONTAGE RD,,['Pedestrian'],W,0,25.0,False,False,1,0
