https://ctcrash.uconn.edu/QueryTool2.action?qid=110711
"CrashId","Fatal Case Status","Fatal Case Status Text Format","CrashId","CrashId","Latitude","Longitude","DOT Case Number","Town Name","Town Number","Town Number","Town Number Text Format","Date Of Crash","Year","Month","Month Text Format","Day","Day of the Week","Day of the Week Text Format","Time of Crash","Hour of the Day","Case Identifier","Crash Severity","Crash Severity Text Format","Most Severe Injury","Most Severe Injury Text Format","Number Of Motor Vehicles","Number Of Non-Motorist","Number Of Witnesses","Route Class","Route Class Text Format","Milemarker","Road Number","Road Description","Roadway Name","Intersecting Roadway Name","Landmark Description","Distance From Nearest Landmark","Unit Of Measure From Nearest Landmark","Direction From Nearest Landmark","Latitude","Longitude","First Harmful Event","First Harmful Event Text Format","Manner of Crash / Collision Impact","Manner of Crash / Collision Impact Text Format","Location of First Harmful Event","Location of First Harmful Event Text Format","Weather Condition","Weather Condition Text Format","Weather 2","Weather 2 Text Format","Light Condition","Light Condition Text Format","Road Surface Condition","Road Surface Condition Text Format","Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format","Environment 2","Environment 2 Text Format","Environment 3","Environment 3 Text Format","Contributing Circumstances, Road","Contributing Circumstances, Road Text Format","Road 2","Road 2 Text Format","Road 3","Road 3 Text Format","Crash Specific Location","Crash Specific Location Text Format","Type of Intersection","Type of Intersection Text Format","School Bus Related","School Bus Related Text Format","Work Zone Related","Work Zone Related Text Format","Location Of Crash Relative To Work Zone","Location Of Crash Relative To Work Zone Text Format","Type of Work Zone","Type of Work Zone Text Format","Worker Presence","Worker Presence Text Format","Law Enforcement Presence","Law Enforcement Presence Text Format","Were Vehicles Moved Prior To Police Arrival","Trafficway Ownership","Trafficway Ownership Text Format","Trafficway Class","Trafficway Class Text Format","Police Agency","Police Agency Text Format","Badge Number","Approval Date","Police Case Status","Police Case Status Text Format","Crash Report Submission Date","Related Case Identifiers","Urban Area","Urban Area Text Format","No. of Through Lanes (Reverse Dir.)","No. of Through Lanes (Log Dir.)","Highway Type (FHWA)","Highway Type (FHWA) Text Format","Average Daily Traffic","Functional Classification","Functional Classification Text Format","Rural or Urban","Rural or Urban Text Format"
"129826","0","Under Investigation","129826","129826","41.31871200","-72.90276500","2320392","New Haven","93","93","New Haven","2014-12-11","2014","12","December","11","5","Thursday","20:47:00","20","1400764524","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","2","0","Unknown","","","","I-91 North","Exit 5","Exit 5","1.0","Feet","N","41.31871200","-72.90276500","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CTCSP0000","State Police","0976","2015-09-05 00:00:00.0","C","Closed","2015-09-09 00:00:00.0","","","","","","","","","","","",""
"137721","1","Complete","137721","137721","41.38916100","-72.85522200","915035","North Haven","101","101","North Haven","2015-03-11","2015","3","March","11","4","Wednesday","07:02:00","7","1500004522","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","3","State","2.95","22","022","SR-22 Clintonville Road","","POOL RD","50.0","Feet","W","41.38916100","-72.85522200","9","Pedestrian","88","Not Applicable","99","Unknown","3","Fog, Smog, Smoke","88","Not Applicable","99","Unknown","2","Wet","1","Weather Conditions","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","99","Unknown","CT0010100","North Haven PD","527","2015-03-31 00:00:00.0","O","Open","2015-04-01 00:00:00.0","","G","NEW HAVEN","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","11900","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"179590","1","Complete","179590","179590","41.27731700","-72.86118900","915022","East Haven","44","44","East Haven","2015-02-22","2015","2","February","22","1","Sunday","04:04:00","4","1500004893","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","2","USRoute","52.06","1","001","Saltonstall PKWY","RTE 100(NB)(MAIN ST)","","",""," ","41.27731700","-72.86118900","9","Pedestrian","88","Not Applicable","1","On Roadway","7","Snow","5","Sleet or Hail ","5","Dark-Not Lighted","4","Slush","1","Weather Conditions","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","1","Trafficway, On Road","CT0004400","East Haven PD","0375","2015-02-28 01:07:25.0","C","Closed","2016-01-20 10:31:23.0","","G","NEW HAVEN","2","2","4","3-4 LANES DIVIDED (WIDTH 36'-71')","14300","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"180104","1","Complete","180104","180104","41.32069400","-72.86640500","915267","East Haven","44","44","East Haven","2015-06-27","2015","6","June","27","7","Saturday","21:42:00","21","1500017175","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","1","3","State","0.85","80","080","Foxon Road","PAUL ST(DE)","","",""," ","41.32069400","-72.86640500","9","Pedestrian","88","Not Applicable","1","On Roadway","4","Rain","88","Not Applicable","5","Dark-Not Lighted","2","Wet","1","Weather Conditions","88","Not Applicable","88","Not Applicable","5","Road Surface Condition (wet, icy, snow, slush, etc.)","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0004400","East Haven PD","0700","2015-08-06 00:00:00.0","O","Open","2015-08-06 00:00:00.0","","G","NEW HAVEN","0","4","3","3 OR MORE LANES CONTIGUOUS (WIDTH 30' OR MORE)","25400","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"203545","1","Complete","203545","203545","41.30073800","-72.94090300","916106","New Haven","93","93","New Haven","2016-05-19","2016","5","May","19","5","Thursday","23:30:00","23","16025056","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","2","4","Local","0.06","346","KOSSUTH ST","KOSSUTH ST","ANN ST","","",""," ","41.30073800","-72.94090300","8","Other Non-Collision","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","true","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","10","2016-05-21 01:40:47.0","O","Open","2016-05-24 04:01:02.0","","G","NEW HAVEN","","2","","","","7","LOCAL - NEW HPMS","2","Urban"
"213297","1","Complete","213297","213297","41.30892500","-72.89659300","916061","New Haven","93","93","New Haven","2016-03-07","2016","3","March","7","2","Monday","00:06:00","0","16-011091","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","4","Local","0.57","264","GRAND AV","GRAND AVE","unknown","POPLAR ST","125.0","Feet","E","41.30892500","-72.89659300","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","","","4","Dark-Lighted","1","Dry","0","None","","","","","0","None","","","","","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","914","2016-05-12 03:29:00.0","O","Open","2016-07-04 04:01:00.0","","G","NEW HAVEN","","2","","","10900","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"265370","1","Complete","265370","265370","41.28149900","-72.87469900","916205","East Haven","44","44","East Haven","2016-08-31","2016","8","August","31","4","Wednesday","16:15:00","16","1600026375","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","4","Local","0.14","100","FORBES PL","FORBES PL","unknown","SIDNEY ST","150.0","Feet","S","41.28149900","-72.87469900","10","Pedalcycle/Pedalcyclist","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0004400","East Haven PD","0375","2016-10-06 13:24:31.0","O","Open","2016-10-12 11:02:03.0","","G","NEW HAVEN","","4","","","","7","LOCAL - NEW HPMS","2","Urban"
"308795","1","Complete","308795","308795","41.29301900","-72.94386800","916251","New Haven","93","93","New Haven","2016-10-28","2016","10","October","28","6","Friday","21:54:00","21","16055851","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","1","3","State","0.88","10","010","ELLA T GRASSO BLVD","unknown","ADELINE ST","30.0","Feet","S","41.29301900","-72.94386800","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","5","Dark-Not Lighted","1","Dry","97","Other","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0009300","New Haven PD","298","2016-11-02 15:34:57.0","O","Open","2016-11-03 04:01:18.0","","G","NEW HAVEN","0","4","3","3 OR MORE LANES CONTIGUOUS (WIDTH 30' OR MORE)","20500","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"333609","1","Complete","333609","333609","41.35163300","-72.93106600","916287","Hamden","62","62","Hamden","2016-12-11","2016","12","December","11","1","Sunday","02:05:00","2","1600052321","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","3","State","5.95","10","010","DIXWELL AVE","unknown","OREGON AVE(DE)","122.0","Feet","S","41.35163300","-72.93106600","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0006200","Hamden PD","0023","2017-01-12 07:15:27.0","O","Open","2017-01-12 08:04:21.0","","G","NEW HAVEN","0","4","3","3 OR MORE LANES CONTIGUOUS (WIDTH 30' OR MORE)","27100","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"355584","1","Complete","355584","355584","41.26512300","-72.95230600","917026","West Haven","156","156","West Haven","2017-02-05","2017","2","February","5","1","Sunday","07:33:00","7","1700007505","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","0","4","Local","99156.00","33","BASSETT ST","11 BASSETT ST - PKG LOT","unknown","","",""," ","41.26512300","-72.95230600","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","97","Other","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","2","Private Road","4","Parking Lot","CT0015600","West Haven PD","181","2017-03-02 10:55:35.0","C","Closed","2017-03-02 11:32:46.0","","","","","","","","","","","",""
