https://ctcrash.uconn.edu/QueryTool2.action?qid=110711
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"129826","1","1","Vehicle in Operation","1","Bmw","1998","1998","740i","Wht      ","N","Northbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","50","2","Towed But not Due to Disabling Damage","4","Two-Way, Divided, Positive Median Barrier","5","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","0","None","WBAGJ832XWDM20726   ","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","  ","","","","false","Catapano's ","false","false","I-91 North","false","CT","false","false","1","CENTINAL INSURANCE CO. LIMITED","","","","","","","","","","","","","","","","","","","","2015-07-26","","","",""
"137721","1","1","Vehicle in Operation","1","HOND","2011","2011","ACCORD","BLU","W","Westbound","false","17","Pedestrian","99","Unknown","0","None","88","Not Applicable","","3","Not Towed","1","Two-Way, Not Divided","3","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","99","Unknown","0","None","1HGCP2F30BA110003","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","W Haven","CT","","","","false","","false","false","Clintonville Road","false","CT","false","false","1","STATE FARM","","","","","","","","","","","","","","","","","","","","2015-05-30","","","",""
"179590","1","1","Vehicle in Operation","3","FORD","2002","2002","F250","Green","E","Eastbound","false","17","Pedestrian","1","Straight Ahead","99","Unknown","88","Not Applicable","40","3","Not Towed","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","4","1","Straight","2","Uphill","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","2","Minor Damage","5","Pick Up","1","Straight Ahead","99","Unknown","1FTNW21S62EA72486","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Guilford","CT","","06437","","false","n/a","false","false","Saltonstall Parkway","false","CT","false","false","1","NGM ","","","","","","","","","","","","","","","","","","","","2015-07-02","","","",""
"180104","1","1","Vehicle in Operation","1","CHEV","2012","2012","VOLT","GRY","E","Eastbound","false","17","Pedestrian","7","Turning Left","99","Unknown","88","Not Applicable","1","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","7","Turning Left","99","Unknown","1G1RD6E40CU111342","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Durham","CT","","","","false","East Haven Police Department","false","false","Paul Street","false","CT","false","false","1","GEICO","","","","","","","","","","","","","","","","","","","","2015-07-11","","","",""
"203545","1","1","Vehicle in Operation","1","","","","","","S","Southbound","false","19","Other Non-motorist","1","Straight Ahead","99","Unknown","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","99","Unknown","1","Passenger Car","1","Straight Ahead","99","Unknown","UNKNOWN","1","No Control Device","88","Not Applicable","19","Other Non-motorist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","New Haven","CT","United States","06519","false","true","","false","false","Kossuth St","false","  ","false","false","1","Unknwon","","","","","","","","","","","","","","","","","","","","","","","",""
"213297","1","1","Vehicle in Operation","1","HONDA","","","CIVIC","WHITE","W","Westbound","false","17","Pedestrian","1","Straight Ahead","0","None","","","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","99","Unknown","1","Passenger Car","1","Straight Ahead","0","None","","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","  ","","","","true","","","","GRAND AVE","","  ","false","false","88","","","","","","","","","","","","","","","","","","","","","","","","",""
"265370","1","1","Vehicle in Operation","1","NISS","2004","2004","MAXIMA S","GRY","N","Northbound","false","18","Pedalcycle/Pedalcyclist","14","Overtaking/Passing Cyclist","0","None","88","Not Applicable","25","2","Towed But not Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","2","Sector 2 (NorthEast) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","14","Overtaking/Passing Cyclist","0","None","1N4BA41E04C852916","1","No Control Device","88","Not Applicable","18","Pedalcycle/Pedalcyclist","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","  ","","","","false","EHPD (471 North High Street, East Haven, Connecticut","false","false","Forbes Place","false","CT","false","false","1","FOREMOST INS CO","","","","","","","","","","","","","","","","","","","","2017-02-15","","","",""
"265370","2","1","Vehicle in Operation","1","ROADMASTER","","","","Red","N","Northbound","false","22","Motor Vehicle In Transport","1","Straight Ahead","0","None","88","Not Applicable","1","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","10","Sector 10 (NorthWest) in the 12-point Clock Diagram","2","Minor Damage","","","1","Straight Ahead","0","None","RM30782229","1","No Control Device","88","Not Applicable","22","Motor Vehicle In Transport","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","  ","","","","false","","false","false","Forbes Place","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"308795","1","1","Vehicle in Operation","1","Honda","1990","1990","Accord","Brown","S","Southbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","35","2","Towed But not Due to Disabling Damage","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","4","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","0","None","1HGCB7659LA161871","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","East Haven","CT","United States","06512","true","false","Nhpd Garage","false","false","Ella T Grasso Blvd","false","CT","false","false","1","Progressive","","","","","","","","","","","","","","","","","","","","2016-10-30","","","",""
"333609","1","1","Vehicle in Operation","1","Buick","2004","2004","Lesabre","Tan      ","N","Northbound","false","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","35","1","Towed Due to Disabling Damage","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","4","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","1G4HP52K94U140018   ","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Bridgeport","CT","","","true","","Hamden PD (2900 Dixwell Ave. Hamden, CT.)","false","","Dixwell Ave","","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","","","","",""
