https://ctcrash.uconn.edu/QueryTool2.action?qid=110723
"CrashID","VehicleID","Trailer ID","Trailer Information Same As Carrier","Trailer Information Same As Power Unit","Trailer Information Same As Other Trailer","Trailer Owner City","Trailer Owner State","Trailer Owner Country","Trailer Owner Postal Code","Trailer License Plate Issuing State Code","Trailer License Plate Was Expired","Trailer License Plate Was Missing","Trailer Vehicle Identification Number"
"331798","3","1","","","","","  ","","","  ","","",""
"331798","3","2","","","","","  ","","","  ","","",""
"333211","1","1","","","","","  ","","","  ","","",""
"333211","1","2","","","","","  ","","","  ","","",""
"333712","2","1","","","","","  ","","","  ","","",""
"333712","2","2","","","","","  ","","","  ","","",""
"335022","2","1","true","false","false","Avondale","PA","United States","19311","PA","","","1UYVS25397M158503"
"335022","2","2","false","false","false","","  ","","","  ","","",""
"339187","1","1","","","","","  ","","","  ","","",""
"339187","1","2","","","","","  ","","","  ","","",""
"340540","1","1","","","","","  ","","","  ","","",""
"340540","1","2","","","","","  ","","","  ","","",""
"341831","1","1","","","","","  ","","","  ","","",""
"341831","1","2","","","","","  ","","","  ","","",""
"345481","1","1","false","true","false","new haven","CT","United States","06530","CT","","","3N1AB6AP5CL718733"
"345481","1","2","false","false","false","","  ","","","  ","","",""
"345575","1","1","","","","","  ","","","  ","","",""
"345575","1","2","","","","","  ","","","  ","","",""
"346102","2","1","false","false","false","","  ","","","  ","","",""
"346102","2","2","false","false","false","","  ","","","  ","","",""
"347817","1","1","","","","","  ","","","  ","","",""
"347817","1","2","","","","","  ","","","  ","","",""
"350036","1","1","false","false","false","","  ","","","  ","","",""
"350036","1","2","false","false","false","","  ","","","  ","","",""
"350641","1","1","","","","","  ","","","  ","","",""
"350641","1","2","","","","","  ","","","  ","","",""
"351493","1","1","","","","","  ","","","  ","","",""
"351493","1","2","","","","","  ","","","  ","","",""
"351493","3","1","","","","","  ","","","  ","","",""
"351493","3","2","","","","","  ","","","  ","","",""
"352297","1","1","","","","","  ","","","  ","","",""
"352297","1","2","","","","","  ","","","  ","","",""
"353971","1","1","","","","","  ","","","  ","","",""
"353971","1","2","","","","","  ","","","  ","","",""
"354080","1","1","true","false","false","Lowell","AR","","72745","ME","","","1JJV472D8EL805292"
"354080","1","2","false","false","false","","  ","","","  ","","",""
"354153","2","1","false","false","false","","  ","","","  ","","",""
"354153","2","2","false","false","false","","  ","","","  ","","",""
"354482","1","1","false","false","false","","  ","","","  ","","",""
"354482","1","2","false","false","false","","  ","","","  ","","",""
"354985","2","1","false","false","false","","  ","","","  ","","",""
"354985","2","2","false","false","false","","  ","","","  ","","",""
"355467","1","1","false","false","false","Keene","NH","","03431","ME","","","1JJV462B4EL805220"
"355467","1","2","false","false","false","","  ","","","  ","","",""
"355910","2","1","","","","","  ","","","  ","","",""
"355910","2","2","","","","","  ","","","  ","","",""
"356488","2","1","false","false","false","","  ","","","  ","","",""
"356488","2","2","false","false","false","","  ","","","  ","","",""
"360753","1","1","false","false","false","","  ","","","  ","","",""
"360753","1","2","false","false","false","","  ","","","  ","","",""
"362691","2","1","","","","","  ","","","  ","","",""
"362691","2","2","","","","","  ","","","  ","","",""
"364644","2","1","true","false","false","St John Plt","ME","United States","04743","ME","","","1GRAA9625YW018605"
"364644","2","2","false","false","false","","  ","","","  ","","",""
"366410","1","1","false","false","false","Jefferson","ME","United States","04348","ME","","","1LDE4020XEB846011"
"366410","1","2","false","false","false","","  ","","","  ","","",""
"369771","1","1","","","","","  ","","","  ","","",""
"369771","1","2","","","","","  ","","","  ","","",""
"369804","1","1","","","","","  ","","","  ","","",""
"369804","1","2","","","","","  ","","","  ","","",""
"371111","1","1","false","false","false","ASHLAND","MA","","01721","  ","","","5VGFW5021GL001806"
"371111","1","2","false","false","false","","  ","","","  ","","",""
"372148","1","1","","","","","  ","","","  ","","",""
"372148","1","2","","","","","  ","","","  ","","",""
"372933","2","1","","","","","  ","","","  ","","",""
"372933","2","2","","","","","  ","","","  ","","",""
"374132","1","1","","","","","  ","","","  ","","",""
"374132","1","2","","","","","  ","","","  ","","",""
"375493","1","1","","","","","  ","","","  ","","",""
"375493","1","2","","","","","  ","","","  ","","",""
"375493","2","1","","","","","  ","","","  ","","",""
"375493","2","2","","","","","  ","","","  ","","",""
"376064","1","1","false","false","false","","  ","","","  ","","",""
"376064","1","2","false","false","false","","  ","","","  ","","",""
"376463","1","1","false","false","false","","  ","","","  ","","",""
"376463","1","2","false","false","false","","  ","","","  ","","",""
"377341","1","1","","","","","  ","","","  ","","",""
"377341","1","2","","","","","  ","","","  ","","",""
"380494","2","1","false","false","false","","  ","","","  ","","",""
"380494","2","2","false","false","false","","  ","","","  ","","",""
"381404","2","1","","","","","  ","","","  ","","",""
"381404","2","2","","","","","  ","","","  ","","",""
"382864","1","1","true","false","false","WEST BROOKFIELD","MA","","01585","ME","","","1UYVS2536DU620821"
"382864","1","2","false","false","false","","  ","","","  ","","",""
"383081","1","1","","","","","  ","","","  ","","",""
"383081","1","2","","","","","  ","","","  ","","",""
"383302","2","1","false","false","false","","  ","","","  ","","",""
"383302","2","2","false","false","false","","  ","","","  ","","",""
"384096","3","1","","","","","  ","","","  ","","",""
"384096","3","2","","","","","  ","","","  ","","",""
"384097","2","1","","","","","  ","","","  ","","",""
"384097","2","2","","","","","  ","","","  ","","",""
"384463","1","1","false","false","false","","  ","","","  ","","",""
"384463","1","2","false","false","false","","  ","","","  ","","",""
"385078","1","1","","","","","  ","","","  ","","",""
"385078","1","2","","","","","  ","","","  ","","",""
"385878","2","1","","","","","  ","","","  ","","",""
"385878","2","2","","","","","  ","","","  ","","",""
"387250","1","1","","","","","  ","","","  ","","",""
"387250","1","2","","","","","  ","","","  ","","",""
"389936","2","1","","","","","  ","","","  ","","",""
"389936","2","2","","","","","  ","","","  ","","",""
"390206","2","1","","","","","  ","","","  ","","",""
"390206","2","2","","","","","  ","","","  ","","",""
"390581","1","1","false","false","false","","  ","","","  ","","",""
"390581","1","2","false","false","false","","  ","","","  ","","",""
"391090","1","1","","","","","  ","","","  ","","",""
"391090","1","2","","","","","  ","","","  ","","",""
"392686","2","1","","","","","  ","","","  ","","",""
"392686","2","2","","","","","  ","","","  ","","",""
"392809","1","1","false","false","false","Jefferson","ME","United States","04348","ME","","","1UYVS2532HG908713"
"392809","1","2","false","false","false","","  ","","","  ","","",""
"397346","1","1","false","false","false","","  ","","","  ","","",""
"397346","1","2","false","false","false","","  ","","","  ","","",""
"403472","1","1","","","","","  ","","","  ","","",""
"403472","1","2","","","","","  ","","","  ","","",""
"404977","1","1","","","","","  ","","","  ","","",""
"404977","1","2","","","","","  ","","","  ","","",""
"408878","1","1","","","","","  ","","","  ","","",""
"408878","1","2","","","","","  ","","","  ","","",""
"412982","2","1","false","false","false","","  ","","","  ","","",""
"412982","2","2","false","false","false","","  ","","","  ","","",""
"412982","3","1","false","false","false","","  ","","","  ","","",""
"412982","3","2","false","false","false","","  ","","","  ","","",""
"413807","2","1","false","false","false","NEW CARLISE","IN","","46552","IN","","","1PMA2442X75005913"
"413807","2","2","false","false","false","","  ","","","  ","","",""
"413852","3","1","false","false","false","","  ","","","  ","","",""
"413852","3","2","false","false","false","","  ","","","  ","","",""
"413855","1","1","false","false","false","","  ","","","  ","","",""
"413855","1","2","false","false","false","","  ","","","  ","","",""
"414039","1","1","true","false","false","Jersey City","NJ","","07306","NJ","","false","5PVNJ8JV4G4S60822"
"414039","1","2","false","false","false","","  ","","","  ","","false",""
"417243","2","1","false","false","false","","  ","","","  ","","",""
"417243","2","2","false","false","false","","  ","","","  ","","",""
"420108","1","1","false","false","false","","  ","","","  ","","",""
"420108","1","2","false","false","false","","  ","","","  ","","",""
"421871","2","1","true","false","false","BRANFORD","CT","United States","06405","CT","","","1EU1X2833RH32476"
"421871","2","2","false","false","false","","  ","","","  ","","",""
"422097","1","1","false","false","false","","  ","","","  ","","",""
"422097","1","2","false","false","false","","  ","","","  ","","",""
"424059","2","1","false","false","false","","  ","","","  ","","",""
"424059","2","2","false","false","false","","  ","","","  ","","",""
"425939","3","1","false","false","false","","  ","","","  ","","",""
"425939","3","2","false","false","false","","  ","","","  ","","",""
"429253","1","1","false","false","false","","  ","","","  ","","",""
"429253","1","2","false","false","false","","  ","","","  ","","",""
"429253","2","1","false","false","false","","  ","","","  ","","",""
"429253","2","2","false","false","false","","  ","","","  ","","",""
"431827","1","1","false","false","false","","  ","","","  ","","",""
"431827","1","2","false","false","false","","  ","","","  ","","",""
"434668","2","1","false","false","false","","  ","","","  ","","",""
"434668","2","2","false","false","false","","  ","","","  ","","",""
"435282","1","1","false","false","false","","  ","","","  ","","",""
"435282","1","2","false","false","false","","  ","","","  ","","",""
"436366","2","1","false","false","false","","  ","","","  ","","",""
"436366","2","2","false","false","false","","  ","","","  ","","",""
"437494","1","1","true","false","false","HAMMOND","IN","United States","46323","IN","","","1GRAA56147K289113"
"437494","1","2","false","false","false","","  ","","","  ","","",""
"442527","1","1","false","true","false","","  ","","","  ","","",""
"442527","1","2","false","false","false","","  ","","","  ","","",""
"444332","2","1","false","false","false","","  ","","","  ","","",""
"444332","2","2","false","false","false","","  ","","","  ","","",""
"448582","1","1","false","false","false","","  ","","","  ","","",""
"448582","1","2","false","false","false","","  ","","","  ","","",""
"449621","2","1","false","false","false","","  ","","","  ","","",""
"449621","2","2","false","false","false","","  ","","","  ","","",""
"454000","4","1","false","false","false","","  ","","","  ","","",""
"454000","4","2","false","false","false","","  ","","","  ","","",""
"454086","2","1","true","false","false","N FRANKLIN","CT","United States","06254","CT","","","5C2BB39B96M005161"
"454086","2","2","false","false","false","","  ","","","  ","","",""
"456109","1","1","true","false","false","WARREN","NJ","United States","07059","NJ","","","3BD2E95361X470996"
"456109","1","2","false","false","false","","  ","","","  ","","",""
"457296","1","1","false","false","false","","  ","","","  ","","",""
"457296","1","2","false","false","false","","  ","","","  ","","",""
"457931","1","1","false","false","false","","  ","","","  ","","",""
"457931","1","2","false","false","false","","  ","","","  ","","",""
"458671","2","1","false","false","false","","  ","","","  ","","",""
"458671","2","2","false","false","false","","  ","","","  ","","",""
"461164","2","1","","","","","  ","","","  ","","",""
"461164","2","2","","","","","  ","","","  ","","",""
"461165","2","1","","","","","  ","","","  ","","",""
"461165","2","2","","","","","  ","","","  ","","",""
"462071","1","1","false","false","false","","  ","","","  ","","",""
"462071","1","2","false","false","false","","  ","","","  ","","",""
"463442","1","1","false","false","false","ROSWELL","GA","United States","30076","VA","","","1DW1A2816CS308173"
"463442","1","2","false","false","false","","  ","","","  ","","",""
"466785","1","1","false","false","false","","  ","","","  ","","",""
"466785","1","2","false","false","false","","  ","","","  ","","",""
"468123","1","1","false","false","false","","  ","","","  ","","",""
"468123","1","2","false","false","false","","  ","","","  ","","",""
"468598","3","1","false","false","false","","  ","","","  ","","",""
"468598","3","2","false","false","false","","  ","","","  ","","",""
"469113","1","1","false","true","false","FRENCHVILLE","ME","","04745","ME","","","1UYVS25347P056119"
"469113","1","2","false","false","false","","  ","","","  ","","",""
"469115","1","1","false","false","false","SPRINGFIELD","MA","","01104","ME","","","13N24830171538875"
"469115","1","2","false","false","false","","  ","","","  ","","",""
"469121","2","1","false","false","false","","  ","","","  ","","",""
"469121","2","2","false","false","false","","  ","","","  ","","",""
"469430","2","1","false","false","false","Rochester","NY","","14623","NY","","","1GRAA06238B700451"
"469430","2","2","false","false","false","","  ","","","  ","","",""
"469844","2","1","false","false","false","","  ","","","  ","","",""
"469844","2","2","false","false","false","","  ","","","  ","","",""
"470102","2","1","false","false","false","","  ","","","  ","","",""
"470102","2","2","false","false","false","","  ","","","  ","","",""
"470900","2","1","false","false","false","","  ","","","  ","","",""
"470900","2","2","false","false","false","","  ","","","  ","","",""
