https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165957
"CrashId","VehicleId","Vehicle Unit Type","Vehicle Unit Type Text Format","Number of Occupants in Vehicle","Make","Vehicle Model Year","Vehicle Model Year Text Format","Model","Vehicle Color","Direction of Travel Before Crash","Direction of Travel Before Crash Text Format","Direction is Unknown","Most Harmful Event","Most Harmful Event Text Format","Vehicle Maneuver/Action","Vehicle Maneuver/Action Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Contributing Circumstances, Motor Vehicle","Contributing Circumstances, Motor Vehicle Text Format","Posted/Statutory Speed Limit","Towed Status","Towed Status Text Format","Trafficway Description","Trafficway Description Text Format","Total Lanes In Roadway","Roadway Alignment","Roadway Alignment Text Format","Roadway Grade","Roadway Grade Text Format","Initial Contact Point","Initial Contact Point Text Format","Extent of Damage","Extent of Damage Text Format","Body Type","Body Type Text Format","Vehicle Action","Vehicle Action Text Format","Contributing Circumstances of Vehicle","Contributing Circumstances of Vehicle Text Format","VIN","Traffic Control Device Type","Traffic Control Device Type Text Format","Traffic Control Device Functional?","Traffic Control Device Functional? Text Format","Sequence of Events 1","Sequence of Events 1 Text Format","Sequence of Events 2","Sequence of Events 2 Text Format","Sequence of Events 3","Sequence of Events 3 Text Format","Sequence of Events 4","Sequence of Events 4 Text Format","Special Function Of Vehicle In Operation","Special Function Of Vehicle In Operation Text Format","Emergency Vehicle Use","Emergency Vehicle Use Text Format","Were Hazardous Materials Released","Were Hazardous Materials Released Text Format","Owner City","Owner State","Owner Country","Owner Postal Code","Owner Information Same As Driver","Hit And Run Status","Towed To","Was Serial Number Missing/Removed","Bike Lanes/Sharrows Present","Name Of Roadway On Which Vehicle Was Traveling","Vehicle Was Not On Roadway","Motor Vehicle Registration State","Motor Vehicle Registration Was Invalid","Motor Vehicle Registration Plate Was Missing","Bus Use","Name Of Issuing Insurance Company","US DOT Number","Carrier Name","Carrier City","Carrier State","Carrier Country","Carrier Postal Code","Carrier Type","Carrier Type Text Format","Power Unit Owner Information Same As Carrier","Power Unit Owner City","Power Unit Owner State","Power Unit Owner Country","Power Unit Owner Postal Code","Gross Vehicle Weight Rating","Gross Vehicle Weight Rating Text Format","Vehicle Configuration","Vehicle Configuration Text Format","Cargo Body Type","Cargo Body Type Text Format","Insurance Expiration Date","Hazardous Materials Placard Display","Hazardous Materials Placard Display Text Format","Hazardou sMaterials Placard Number","Hazardou sMaterials Placard Class Number"
"4124","1","1","Vehicle in Operation","1","ACUR","2015","2015","TLX","WHT","S","Southbound","false","17","Pedestrian","99","Unknown","0","None","","","35","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","99","Unknown","0","None","19UUB1F35FA006576","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","Holyoke","MA","","","","false","","false","false","STATE STREET","false","CT","false","false","1","HARTFORD","","","","","","","","","","","","","","","","","","","","2015-06-01","","","",""
"8555","1","99","Unknown","1","","0","Older than 2003","","Black","E","Eastbound","false","17","Pedestrian","99","Unknown","99","Unknown","88","Not Applicable","25","","","3","Two-Way, Divided, Unprotected (Painted > 4 Feet) Median","1","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","99","Unknown","99","Unknown","99","Unknown","99","Unknown","","6","Stop Sign","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","","","","","","true","","false","","Gorham ave","","CT","","true","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"29371","1","1","Vehicle in Operation","1","","0","Older than 2003","","","N","Northbound","","17","Pedestrian","7","Turning Left","0","None","88","Not Applicable","","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","99","Unknown","99","Unknown","1","Passenger Car","7","Turning Left","0","None","","1","No Control Device","88","Not Applicable","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not applicable","","","","","UnitedStates","","false","true","","false","true","Sherman Ave","false","","false","false","1","No Insurance Info","","","","","","","","","","","","","","","","","","","","","","","",""
"30371","1","1","Vehicle in Operation","1","Dodge","2014","2014","Mirage","Blue","W","Westbound","","17","Pedestrian","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","5","One-Way Trafficway","4","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","2","Minor Damage","1","Passenger Car","1","Straight Ahead","0","None","ML32A4HJ1EH013474","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","","","","","true","false","","false","false","North Frontage","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2015-05-11","","","",""
"31050","2","1","Vehicle in Operation","1","","0","Older than 2003","","","N","Northbound","false","22","Motor Vehicle In Motion","6","Turning Right","0","None","0","None","25","","","1","Two-Way, Not Divided","2","1","Straight","1","Level","11","Sector 11 (North by NorthWest) in the 12-point Clock Diagram","4","Disabling Damage","","","6","Turning Right","0","None","","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","false","false","","false","false","Prospect St","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31050","1","1","Vehicle in Operation","1","Buick","1991","1991","Skylark","Gray","E","Eastbound","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","1","Sector 1 (North by NorthEast) in the 12-point Clock Diagram","1","No Damage","1","Passenger Car","1","Straight Ahead","0","None","1G4ND54N9MM204674","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","New Haven","CT","UnitedStates","","false","false","","false","false","Trumbull St","false","CT","false","false","1","Sentinel Insurance Co","","","","","","","","","","","","","","","","","","","","2016-01-07","","","",""
"32190","3","1","Vehicle in Operation","1","","0","Older than 2003","","","S","Southbound","false","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","","","1","Two-Way, Not Divided","","1","Straight","1","Level","6","Sector 6 (South) in the 12-point Clock Diagram","4","Disabling Damage","","","1","Straight Ahead","0","None","","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","","","","","","","","","","","false","false","","false","false","Ellsworth Ave","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32190","1","1","Vehicle in Operation","2","Chrysler","2015","2015","200","Gray","N","Northbound","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","1","Towed Due to Disabling Damage","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","4","Disabling Damage","1","Passenger Car","1","Straight Ahead","0","None","1C3CCCABXFN570884","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","Greenville","NC","UnitedStates","27858","false","false","Catapano's","false","false","Ellsworth Ave","false","PA","false","false","1","Enterprise Rental","","","","","","","","","","","","","","","","","","","","","","","",""
"32190","2","1","Vehicle in Operation","1","Nissan","2012","2012","Sentra","Red","S","Southbound","","22","Motor Vehicle In Motion","1","Straight Ahead","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","3","Functional Damage","1","Passenger Car","1","Straight Ahead","0","None","3N1CB6APXCL649594","3","Traffic Control Signal","2","Yes","22","Motor Vehicle In Motion","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","1","Non-Emergency Situation, Non Transporting Patient","","","","","","","true","false","","false","false","Ellsworth Ave","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2016-05-09","","","",""
"32191","1","1","Vehicle in Operation","1","Chevrolet","2002","2002","Trailbl","Black","N","Northbound","","17","Pedestrian","7","Turning Left","0","None","88","Not Applicable","25","3","Not Towed","1","Two-Way, Not Divided","2","1","Straight","1","Level","12","Sector 12 (North) in the 12-point Clock Diagram","1","No Damage","2","(Sport) Utility Vehicle","7","Turning Left","0","None","1GNDT13S622477557","3","Traffic Control Signal","2","Yes","17","Pedestrian","88","Not Applicable","88","Not Applicable","88","Not Applicable","1","No Special Function","88","Not applicable","","","New Haven","CT","UnitedStates","06511","false","false","","false","false","Winchester Ave","false","CT","false","false","1","Geico","","","","","","","","","","","","","","","","","","","","2015-10-15","","","",""
