https://www.ctcrash.uconn.edu/QueryTool2.action?qid=165957
"CrashId","VehicleId","PersonId","Age","Gender","Gender Text Format","State","Postal Code","Person Type","Person Type Text Format","Injury Status","Injury Status Text Format","Condition at Time of Crash","Condition at Time of Crash Text Format","Condition at Time of Crash2","Condition at Time of Crash2 Text Format","Action Taken by Officer","Action Taken by Officer Text Format","Alcohol Test Status","Alcohol Test Status Text Format","Type Of Alcohol Test","Type Of Alcohol Test Text Format","Drug Test Status","Drug Test Status Text Format","Type Of Drig Test","Type Of Drig Test Text Format","Ejection Status","Ejection Status Text Format","Restraint System","Restraint System Text Format","Helmet Use","Helmet Use Text Format","Air Bag Status","Air Bag Status Text Format","Speeding Related","Speeding Related Text Format","Driver Actions 1","Driver Actions 1 Text Format","Driver Actions 2","Driver Actions 2 Text Format","Driver Actions 3","Driver Actions 3 Text Format","Driver Actions 4","Driver Actions 4 Text Format","Driver Distracted By","Driver Distracted By Text Format","Roadway On Which Nonmotorist Was Traveling/Located","Direction nonmotorist was traveling","Direction Unknown","Striking Motor Vehicle ID","Bicycle ID","Non-Motorist Not In Roadway","Actions or Circumstances Prior to Crash","Actions or Circumstances Prior to Crash Text Format","To or From School","To or From School Text Format","Actions or Circumstances At Time Of Crash","Actions or Circumstances At Time Of Crash Text Format","Actions or Circumstances At Time Of Crash2","Actions or Circumstances At Time Of Crash2 Text Format","Location At Time Of Crash","Location At Time Of Crash Text Format","Safety Equipment","Safety Equipment Text Format","Safety Equipment2","Safety Equipment2 Text Format","Non-motorist Distracted By","Non-motorist Distracted By Text Format","Seating Position","Seating Position Text Format","Seating Position for Bus","City","Country","Driver License Jurisdiction","Driver License Jurisdiction Text Format","Drivers License Issued By","Drivers License Class","Commercial License Class","Commercial License Class Text Format","Transported to First Medical Facility By","Transported to First Medical Facility By Text Format","Name of the EMS agency","Name of the Intended Receiving Facility"
"4124","","2","36","1","Male","CT","06517","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","STATE STREET","S","false","1","","false","7","Adjacent to Roadway (e.g., Shoulder, Median)","1","No","1","No Improper Action","","","7","Shoulder/Roadside","0","None","","","1","Not Distracted","","","","Hamden","","2","State","CT","","","","1","Not Transported","AMR","YALE-NEW HAVEN HOSPITAL"
"8555","","1","43","1","Male","CT","06514","3","Pedestrian","A","Suspected Serious Injury (A)","6","Under the Influence of Medications/Drugs/Alcohol","88","Not Applicable","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","Circular Ave","S","false","1","","false","1","Crossing Roadway","1","No","99","Unknown","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","Hamden","","2","State","CT","","","","1","Not Transported","AMR","YALE "
"29371","1","2","","99","Unknown","","","1","Driver","A","Suspected Serious Injury (A)","99","Unknown","99","Unknown","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","1","Not Ejected","99","Unknown","88","Not Applicable","99","Unknown","99","Unknown","15","Operated Motor Vehicle in Inattentive, Careless, Negligent, or Erratic Manner","88","Not Applicable","88","Not Applicable","88","Not Applicable","99","Unknown if Distracted","","","","","","","","","","","","","","","","","","","","","","","11","First Row, Left�Seat","","","UnitedStates","","","","","","","1","Not Transported","",""
"30371","","2","26","1","Male","NC","27707","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","","","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","COLLEGE ST","N","false","1","","false","1","Crossing Roadway","2","Yes","2","Dart/Dash","4","Failure to Obey Traffic Signs, Signals, or Officer","1","Intersection-Marked Crosswalk","0","None","0","None","1","Not Distracted","","","","Durham","UnitedStates","2","State","NC","","","","1","Not Transported","",""
"31050","","2","26","2","Female","CT","","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","TRUMBULL ST","E","false","1","2","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","99","Unknown","4","Failure to Obey Traffic Signs, Signals, or Officer","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"32190","","3","28","1","Male","CT","06511","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","WHALLEY AVENUE","E","false","1","3","false","3","Walking/Cycling along Roadway Along Traffic (In or Adjacent to Travel Lane)","1","No","4","Failure to Obey Traffic Signs, Signals, or Officer","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","1","Not Distracted","","","","New Have","UnitedStates","","","","","","","1","Not Transported","NEW HAVEN FIRE","YALE-NH HOSP"
"32191","","2","39","2","Female","CT","06511","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","WINCHESTER AVE","W","false","1","","false","1","Crossing Roadway","1","No","1","No Improper Action","88","Not Applicable","1","Intersection-Marked Crosswalk","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","88","Not applicable","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"36096","","2","44","1","Male","CT","","3","Pedestrian","A","Suspected Serious Injury (A)","2","Physically Impaired","2","Physically Impaired","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","STANDING ON TRUMAN STREET","","true","1","","false","6","In Roadway - Other","1","No","97","Other","88","Not Applicable","5","Travel Lane-Other Location","0","None","88","Not Applicable","1","Not Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMERICAN MEDICAL RESPONSE","YALE-NH HOSP"
"36102","","2","41","2","Female","CT","06513","3","Pedestrian","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","0","None taken","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","FERRY ST / CHAPEL ST","E","false","1","","false","1","Crossing Roadway","1","No","97","Other","88","Not Applicable","4","Midblock-Marked Crosswalk","0","None","88","Not Applicable","99","Unknown if Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
"36277","","2","11","1","Male","CT","06519","5","Bicyclist","A","Suspected Serious Injury (A)","1","Apparently Normal","1","Apparently Normal","1","Verbal Warning","1","Test Not Given","88","Not Applicable","1","Test Not Given","88","Not Applicable","","","","","","","","","","","","","","","","","","","","","WASHINGTON AVENUE","W","false","1","2","false","5","Walking/Cycling on Sidewalk","99","Unknown","3","Failure to Yield Right-Of-Way","2","Dart/Dash","8","Sidewalk","0","None","0","None","1","Not Distracted","","","","New Haven","UnitedStates","","","","","","","1","Not Transported","AMER MED RESPONSE","YALE-NH HOSP"
