https://www.ctcrash.uconn.edu/QueryTool2.action?qid=166508
"CrashId","Fatal Case Status","Fatal Case Status Text Format","CrashId","CrashId","Latitude","Longitude","DOT Case Number","Town Name","Town Number","Town Number","Town Number Text Format","Date Of Crash","Year","Month","Month Text Format","Day","Day of the Week","Day of the Week Text Format","Time of Crash","Hour of the Day","Case Identifier","Crash Severity","Crash Severity Text Format","Most Severe Injury","Most Severe Injury Text Format","Number Of Motor Vehicles","Number Of Non-Motorist","Number Of Witnesses","Route Class","Route Class Text Format","Milemarker","Road Number","Road Description","Roadway Name","Intersecting Roadway Name","Landmark Description","Distance From Nearest Landmark","Unit Of Measure From Nearest Landmark","Direction From Nearest Landmark","Latitude","Longitude","First Harmful Event","First Harmful Event Text Format","Manner of Crash / Collision Impact","Manner of Crash / Collision Impact Text Format","Location of First Harmful Event","Location of First Harmful Event Text Format","Weather Condition","Weather Condition Text Format","Weather 2","Weather 2 Text Format","Light Condition","Light Condition Text Format","Road Surface Condition","Road Surface Condition Text Format","Contributing Circumstances, Environment","Contributing Circumstances, Environment Text Format","Environment 2","Environment 2 Text Format","Environment 3","Environment 3 Text Format","Contributing Circumstances, Road","Contributing Circumstances, Road Text Format","Road 2","Road 2 Text Format","Road 3","Road 3 Text Format","Crash Specific Location","Crash Specific Location Text Format","Type of Intersection","Type of Intersection Text Format","School Bus Related","School Bus Related Text Format","Work Zone Related","Work Zone Related Text Format","Location Of Crash Relative To Work Zone","Location Of Crash Relative To Work Zone Text Format","Type of Work Zone","Type of Work Zone Text Format","Worker Presence","Worker Presence Text Format","Law Enforcement Presence","Law Enforcement Presence Text Format","Were Vehicles Moved Prior To Police Arrival","Trafficway Ownership","Trafficway Ownership Text Format","Trafficway Class","Trafficway Class Text Format","Police Agency","Police Agency Text Format","Badge Number","Approval Date","Police Case Status","Police Case Status Text Format","Crash Report Submission Date","Related Case Identifiers","Urban Area","Urban Area Text Format","No. of Through Lanes (Reverse Dir.)","No. of Through Lanes (Log Dir.)","Highway Type (FHWA)","Highway Type (FHWA) Text Format","Average Daily Traffic","Functional Classification","Functional Classification Text Format","Rural or Urban","Rural or Urban Text Format"
"12349","1","Complete","12349","12349","41.83959800","-71.87773800","2255294","Killingly","69","69","Killingly","2015-04-22","2015","4","April","22","4","Wednesday","16:47:00","16","1500227391","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","1","0","1","Interstate","40.98","395","395"," I 395 N ","NB EXIT TO RTE 101(HTFD PIKE)(052) : Exit 93","","","","","41.83959800","-71.87773800","10","Pedalcycle/Pedalcyclist","3","Angle","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CTCSP0000","State Police","1371","2015-04-29 00:00:00.0","C","Closed","2015-05-01 00:00:00.0","","M","DANIELSON","2","2","4","3-4 LANES DIVIDED (WIDTH 36'-71')","30500","1","INTERSTATE - NEW HPMS","2","Urban"
"16244","1","Complete","16244","16244","41.97187800","-72.04891800","2259189","Woodstock","169","169","Woodstock","2015-04-06","2015","4","April","6","2","Monday","06:11:00","6","1500189664","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","3","State","3.89","197","197","RT 197 ","","CHILD RD","3.0","TenthsofMile","E","41.97187800","-72.04891800","9","Pedestrian","88","Not Applicable","2","Shoulder","3","Fog, Smog, Smoke","88","Not Applicable","1","Daylight","5","Ice / Frost","1","Weather Conditions","88","Not Applicable","88","Not Applicable","5","Road Surface Condition (wet, icy, snow, slush, etc.)","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CTCSP0000","State Police","0318","2015-05-02 00:00:00.0","C","Closed","2015-05-04 00:00:00.0","","X","Unknown","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","1300","5","MAJOR COLLECTOR - NEW HPMS","1","Rural"
"21512","1","Complete","21512","21512","41.73746800","-72.18826200","2264457","Windham","163","163","Windham","2015-01-16","2015","1","January","16","6","Friday","15:07:00","15","1500031124","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","4","Local","0.03","3","AIRPORT RD NO 1","Circle Dr","STONEGATE RD","","","","","41.73746800","-72.18826200","8","Other Non-Collision","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","97","Other","88","Not Applicable","88","Not Applicable","97","Other","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","88","Not Applicable","1","Trafficway, On Road","CTCSP0000","State Police","1176","2015-01-28 00:00:00.0","C","Closed","2015-05-08 00:00:00.0","","X","Unknown","","3","","","","7","LOCAL - NEW HPMS","1","Rural"
"21866","1","Complete","21866","21866","41.65752600","-72.03310000","915020","Canterbury","22","22","Canterbury","2015-02-18","2015","2","February","18","4","Wednesday","18:28:00","18","1500092062","K","Fatal (Kill)","K","Fatal Injury (K)","1","1","1","4","Local","3.99","52","WATER ST","Water St","","Bates Pond Rd","1.0","TenthsofMile","S","41.65752600","-72.03310000","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","5","Dark-Not Lighted","1","Dry","99","Unknown","88","Not Applicable","88","Not Applicable","99","Unknown","88","Not Applicable","88","Not Applicable","1","Non-Junction","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CTCSP0000","State Police","0780","2015-02-26 00:00:00.0","O","Open","2015-05-08 00:00:00.0","","X","Unknown","","2","","","650","6","MINOR COLLECTOR - NEW HPMS","1","Rural"
"27582","1","Complete","27582","27582","41.95306300","-72.30749500","2270527","Stafford","134","134","Stafford","2015-01-20","2015","1","January","20","3","Tuesday","18:54:00","18","201500699","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","3","State","49.08","32","032","Main St","RTE 140(TOLLAND AVE)","","","","","41.95306300","-72.30749500","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","4","Dark-Lighted","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","4","Y-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0007700","Manchester PD","5182","2015-02-25 00:00:00.0","C","Closed","2015-02-25 00:00:00.0","","U","STAFFORD","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","10900","4","MINOR ARTERIAL - NEW HPMS","2","Urban"
"58716","1","Complete","58716","58716","41.71573183","-72.19664526","2301661","Windham","163","163","Windham","2015-06-30","2015","6","June","30","3","Tuesday","15:49:00","15","1500012820","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","3","State","0.07","14","014","Main St","MAYO ST","","","","","41.71573183","-72.19664526","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0016300","Willimantic PD","320","2015-07-28 00:00:00.0","C","Closed","2015-07-29 00:00:00.0","","Q","WILLIMANTIC","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","5000","5","MAJOR COLLECTOR - NEW HPMS","2","Urban"
"58733","1","Complete","58733","58733","41.71565900","-72.22320400","2301678","Windham","163","163","Windham","2015-07-24","2015","7","July","24","6","Friday","10:22:00","10","1500014516","A","Injury of any type (Serious, Minor, Possible)","A","Suspected Serious Injury (A)","1","1","1","4","Local","0.92","211","VALLEY ST","VALLEY ST","IVANHILL ST","","","","","41.71565900","-72.22320400","99","Unknown","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","2","Four-Way Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CT0016300","Willimantic PD","314","2015-07-24 00:00:00.0","C","Closed","2015-07-29 00:00:00.0","","Q","WILLIMANTIC","","2","","","7100","5","MAJOR COLLECTOR - NEW HPMS","2","Urban"
"63601","1","Complete","63601","63601","41.70286000","-72.19175700","2306546","Windham","163","163","Windham","2015-07-23","2015","7","July","23","5","Thursday","17:11:00","17","1500436171","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","1","3","State","27.49","32","032","RT 32","PLAINS RD","","","","","41.70286000","-72.19175700","9","Pedestrian","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","2","Intersection","3","T-Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CTCSP0000","State Police","0448","2015-08-04 00:00:00.0","C","Closed","2015-08-06 00:00:00.0","","Q","WILLIMANTIC","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","9500","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"67945","1","Complete","67945","67945","41.79885750","-71.90624404","2310890","Brooklyn","19","19","Brooklyn","2015-07-29","2015","7","July","29","4","Wednesday","16:22:00","16","1500448623","A","Injury of any type (Serious, Minor, Possible)","C","Possible Injury (C)","1","1","0","2","USRoute","109.77","6","006","Hartford Road (Rt. 6)","","ALLEN HILL RD #2","1.0","TenthsofMile","W","41.79885750","-71.90624404","10","Pedalcycle/Pedalcyclist","88","Not Applicable","1","On Roadway","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","8","Driveway Access","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","1","Public Road","1","Trafficway, On Road","CTCSP0000","State Police","1014","2015-08-13 00:00:00.0","C","Closed","2015-08-17 00:00:00.0","","M","DANIELSON","0","2","1","2 LANE CONTIGUOUS (WIDTH UNDER 36')","13300","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
"73001","1","Complete","73001","73001","41.79847600","-71.90569011","2315946","Brooklyn","19","19","Brooklyn","2015-07-31","2015","7","July","31","6","Friday","11:03:00","11","1500452074","A","Injury of any type (Serious, Minor, Possible)","B","Suspected Minor Injury (B)","1","1","0","2","USRoute","109.99","6","006","PROVIDENCE RD","","SOUTH MAIN ST(ONE-WAY EB)(CDS)","30.0","Feet","W","41.79847600","-71.90569011","11","Other Non-motorist","88","Not Applicable","8","Off Roadway,  Location Unknown","1","Clear","88","Not Applicable","1","Daylight","1","Dry","0","None","88","Not Applicable","88","Not Applicable","0","None","88","Not Applicable","88","Not Applicable","9","Driveway Access-Related","1","Not at Intersection","1","No","1","No","88","Not Applicable","88","Not Applicable","88","Not Applicable","88","Not Applicable","false","2","Private Road","2","Trafficway, Not on Road","CTCSP0000","State Police","1210","2015-08-18 00:00:00.0","C","Closed","2015-08-28 00:00:00.0","","M","DANIELSON","0","4","3","3 OR MORE LANES CONTIGUOUS (WIDTH 30' OR MORE)","14300","3","PRINCIPAL ARTERIAL - OTHER - NEW HPMS","2","Urban"
